person_id,age,region,monthly_income,num_credit_lines,total_debt,debt_to_income_ratio,credit_utilization,late_payments_12m,account_open_date,default_probability,risk_segment,default_flag,ingestion_date
80,36,GBA Sur,589.09,3,77.88,0.132,0.4951,1,2010-04-18,0.1547,Medio,0,2026-08-25
81,45,GBA Sur,801.64,6,327.54,0.4081,0.3415,4,2020-04-05,0.3404,Medio,0,2026-08-25
82,32,Mendoza,1185.33,4,238.7,0.2012,0.0398,0,2021-08-31,0.0533,Bajo,0,2026-08-25
83,35,GBA Sur,934.66,1,1434.14,1.5327,0.2875,2,2019-08-10,0.4423,Alto,0,2026-08-25
84,35,Mendoza,776.1,3,622.38,0.8009,0.1853,0,2017-05-30,0.1305,Bajo,0,2026-08-25
85,25,GBA Norte,781.96,2,216.58,0.2766,0.8113,0,2012-08-01,0.2079,Medio,0,2026-08-25
86,45,Cordoba,939.16,3,202.11,0.215,0.3395,0,2019-05-31,0.0913,Bajo,0,2026-08-25
87,34,GBA Sur,1071.37,1,939.19,0.8758,0.8055,1,2011-04-16,0.4034,Alto,0,2026-08-25
88,40,Tucuman,1125.35,1,1310.04,1.1631,0.2163,0,2023-03-21,0.1824,Medio,1,2026-08-25
89,45,Santa Fe,503.28,3,222.68,0.4416,0.5225,1,2014-07-28,0.2134,Medio,0,2026-08-25
90,45,GBA Norte,1087.59,0,437.3,0.4017,0.175,1,2023-09-07,0.1129,Bajo,0,2026-08-25
91,47,GBA Sur,868.01,1,77.87,0.0896,0.7319,2,2009-11-15,0.2648,Medio,0,2026-08-25
92,38,Mendoza,622.88,2,288.83,0.463,0.2764,2,2018-05-05,0.2002,Medio,0,2026-08-25
93,34,Cordoba,812.02,1,76.98,0.0947,0.0661,1,2015-12-12,0.0729,Bajo,0,2026-08-25
94,39,Mendoza,1690.56,2,67.48,0.0399,0.5584,0,2019-01-21,0.0994,Bajo,0,2026-08-25
95,19,GBA Norte,1354.32,2,267.5,0.1974,0.5362,0,2022-03-16,0.1192,Bajo,0,2026-08-25
96,22,Santa Fe,962.14,2,331.4,0.3441,0.1025,1,2020-03-08,0.0986,Bajo,0,2026-08-25
97,24,CABA,599.5,1,521.25,0.868,0.1841,3,2017-01-18,0.3235,Medio,1,2026-08-25
98,28,Mendoza,496.67,2,31.84,0.064,0.2932,1,2015-09-12,0.1077,Bajo,0,2026-08-25
99,44,GBA Oeste,666.77,4,377.03,0.5646,0.5953,3,2018-11-18,0.4106,Alto,0,2026-08-25
100,29,CABA,950.77,0,445.69,0.4683,0.3471,1,2017-10-12,0.1622,Medio,0,2026-08-25
101,35,GBA Norte,984.37,6,143.33,0.1455,0.4151,0,2013-07-05,0.0966,Bajo,0,2026-08-25
102,55,GBA Oeste,798.73,1,212.54,0.2658,0.0931,1,2013-11-08,0.0891,Bajo,0,2026-08-25
103,35,GBA Oeste,1465.84,3,277.27,0.189,0.5699,1,2009-07-09,0.1637,Medio,0,2026-08-25
104,48,Santa Fe,1212.29,2,152.67,0.1258,0.1519,0,2010-06-19,0.0585,Bajo,0,2026-08-25
105,28,GBA Oeste,279.4,2,46.08,0.1643,0.0522,1,2023-09-22,0.0828,Bajo,0,2026-08-25
106,37,Santa Fe,1027.81,0,404.91,0.3936,0.3298,0,2014-11-27,0.1067,Bajo,0,2026-08-25
107,28,Santa Fe,1354.91,1,2931.25,2.1618,0.5116,4,2011-12-07,0.8187,Muy Alto,1,2026-08-25
108,35,Cordoba,1065.25,2,653.39,0.6128,0.5529,0,2015-03-21,0.1846,Medio,0,2026-08-25
109,50,GBA Norte,1333.36,1,512.73,0.3842,0.4961,1,2011-05-13,0.1759,Medio,0,2026-08-25
110,19,Cordoba,794.01,0,416.53,0.5239,0.7018,1,2011-12-11,0.2873,Medio,1,2026-08-25
111,45,GBA Sur,980.32,4,841.83,0.8579,0.2839,2,2014-10-09,0.2695,Medio,0,2026-08-25
112,42,CABA,977.48,1,164.49,0.1681,0.415,0,2019-02-14,0.0983,Bajo,0,2026-08-25
113,32,GBA Sur,1044.14,4,191.03,0.1828,0.3648,0,2019-08-04,0.0919,Bajo,0,2026-08-25
114,22,Santa Fe,690.67,2,309.86,0.448,0.5366,1,2020-10-30,0.2181,Medio,0,2026-08-25
115,40,GBA Sur,1644.24,6,1060.39,0.6445,0.0571,2,2019-03-17,0.15,Bajo,0,2026-08-25
116,33,GBA Sur,1895.69,2,302.06,0.1593,0.566,2,2015-04-04,0.2005,Medio,1,2026-08-25
117,42,GBA Norte,787.09,3,352.79,0.4477,0.2357,0,2010-02-06,0.0995,Bajo,0,2026-08-25
118,40,GBA Oeste,590.42,1,324.58,0.5488,0.2929,1,2017-12-18,0.1669,Medio,0,2026-08-25
119,59,GBA Norte,623.97,3,290.12,0.4642,0.6189,0,2022-07-19,0.1842,Medio,0,2026-08-25
120,37,Cordoba,1179.53,1,662.08,0.5608,0.2593,2,2015-06-24,0.1994,Medio,0,2026-08-25
121,27,CABA,1245.18,3,197.04,0.1581,0.0577,1,2013-12-09,0.0727,Bajo,0,2026-08-25
122,42,GBA Sur,1201.85,5,164.76,0.137,0.0686,1,2019-02-13,0.0719,Bajo,0,2026-08-25
123,42,Santa Fe,1250.43,1,689.92,0.5513,0.7979,3,2020-06-27,0.4758,Alto,1,2026-08-25
124,56,CABA,830.3,1,112.82,0.1357,0.1397,1,2020-06-22,0.084,Bajo,0,2026-08-25
125,50,CABA,461.19,2,195.23,0.4224,0.1598,1,2021-07-19,0.1217,Bajo,0,2026-08-25
126,44,Tucuman,806.85,1,167.95,0.2079,0.3157,1,2010-04-28,0.1215,Bajo,1,2026-08-25
127,57,CABA,2216.52,2,402.41,0.1815,0.7497,2,2012-01-16,0.2496,Medio,0,2026-08-25
128,25,Santa Fe,1056.83,1,452.04,0.4273,0.7439,1,2020-07-18,0.272,Medio,0,2026-08-25
129,32,GBA Sur,1170.38,2,229.83,0.1962,0.4764,1,2012-03-16,0.1488,Bajo,0,2026-08-25
130,28,GBA Norte,1456.8,3,458.84,0.3148,0.2513,1,2015-01-04,0.1132,Bajo,0,2026-08-25
131,35,Cordoba,660.14,2,844.01,1.2766,0.6961,3,2009-04-07,0.6487,Muy Alto,1,2026-08-25
132,23,Mendoza,1027.8,4,1040.07,1.011,0.6292,3,2022-09-18,0.5393,Alto,1,2026-08-25
133,47,GBA Sur,1280.31,4,271.1,0.2116,0.7782,0,2023-03-03,0.1728,Medio,1,2026-08-25
134,37,CABA,641.39,4,400.32,0.6232,0.4698,1,2021-04-18,0.2293,Medio,0,2026-08-25
135,22,Mendoza,1097.08,2,234.01,0.2131,0.2512,1,2016-08-10,0.1081,Bajo,0,2026-08-25
136,27,Mendoza,1758.38,1,284.79,0.1619,0.286,0,2020-06-18,0.0719,Bajo,0,2026-08-25
137,43,GBA Oeste,837.62,0,196.25,0.234,0.6039,1,2015-02-23,0.1925,Medio,1,2026-08-25
138,50,GBA Norte,508.92,2,443.03,0.8688,0.4549,1,2022-07-05,0.2765,Medio,0,2026-08-25
139,63,Tucuman,1162.48,0,560.59,0.4818,0.4103,0,2010-07-02,0.1269,Bajo,1,2026-08-25
140,74,GBA Sur,873.05,3,507.19,0.5803,0.6141,1,2010-11-14,0.2552,Medio,0,2026-08-25
141,44,Mendoza,1090.66,5,631.39,0.5784,0.03,1,2021-12-22,0.1065,Bajo,0,2026-08-25
142,28,GBA Norte,631.53,3,52.82,0.0835,0.3469,2,2015-04-17,0.1589,Medio,0,2026-08-25
143,18,Mendoza,929.15,1,276.16,0.2969,0.0982,0,2015-12-26,0.0682,Bajo,1,2026-08-25
144,43,Santa Fe,1764.69,1,1427.37,0.8084,0.3019,0,2019-04-07,0.1376,Bajo,0,2026-08-25
145,30,GBA Sur,936.81,2,645.62,0.6884,0.8794,1,2016-03-30,0.3917,Alto,0,2026-08-25
146,35,CABA,463.13,3,232.1,0.5001,0.1189,2,2022-04-08,0.1679,Medio,0,2026-08-25
147,32,GBA Sur,1143.51,0,427.11,0.3732,0.261,1,2013-12-22,0.1264,Bajo,0,2026-08-25
148,38,Mendoza,990.27,3,268.54,0.2709,0.0793,1,2012-07-22,0.0866,Bajo,0,2026-08-25
149,52,Cordoba,1138.64,2,1054.51,0.9253,0.191,1,2020-07-20,0.1868,Medio,1,2026-08-25
150,41,GBA Norte,1558.13,5,828.92,0.5317,0.6599,1,2018-03-06,0.2475,Medio,1,2026-08-25
151,38,Cordoba,773.15,2,146.6,0.1894,0.4074,2,2012-10-22,0.1866,Medio,0,2026-08-25
152,27,Tucuman,816.36,2,1430.39,1.75,0.1309,0,2013-06-23,0.2791,Medio,0,2026-08-25
153,19,GBA Sur,542.65,3,56.61,0.1041,0.4051,0,2012-07-23,0.0983,Bajo,0,2026-08-25
154,34,GBA Norte,1056.73,1,181.54,0.1716,0.404,2,2015-07-14,0.177,Medio,1,2026-08-25
155,39,Mendoza,1063.8,1,400.31,0.3759,0.6799,0,2021-05-08,0.1793,Medio,1,2026-08-25
156,61,GBA Oeste,963.49,2,120.82,0.1253,0.219,0,2010-03-30,0.067,Bajo,0,2026-08-25
157,41,GBA Oeste,1401.4,0,329.94,0.2353,0.3143,4,2016-09-22,0.2716,Medio,0,2026-08-25
158,51,Tucuman,668.7,1,122.46,0.1829,0.0756,0,2014-10-15,0.0587,Bajo,0,2026-08-25
159,34,GBA Sur,1024.31,4,1308.59,1.2763,0.4361,2,2018-02-23,0.4357,Alto,0,2026-08-25
160,25,Santa Fe,1245.24,2,496.74,0.3986,0.3873,2,2019-01-07,0.2082,Medio,0,2026-08-25
161,28,Mendoza,727.29,2,125.48,0.1723,0.2776,0,2022-04-03,0.0826,Bajo,0,2026-08-25
162,31,GBA Oeste,505.51,0,220.61,0.4355,0.5128,0,2011-01-12,0.1591,Medio,0,2026-08-25
163,65,Cordoba,574.1,1,48.2,0.0838,0.1299,0,2010-06-04,0.0581,Bajo,0,2026-08-25
164,30,GBA Oeste,1022.03,6,947.7,0.9264,0.3287,1,2022-04-19,0.2346,Medio,1,2026-08-25
165,50,CABA,2230.32,3,276.6,0.124,0.1042,0,2017-11-07,0.0465,Bajo,0,2026-08-25
166,29,GBA Norte,708.43,1,489.28,0.6897,0.5359,1,2013-06-10,0.2646,Medio,0,2026-08-25
167,51,GBA Sur,1261.4,4,395.58,0.3134,0.2638,0,2020-11-18,0.0847,Bajo,0,2026-08-25
168,44,GBA Norte,372.03,3,145.92,0.3912,0.8138,1,2013-03-20,0.3069,Medio,0,2026-08-25
169,38,GBA Norte,1166.18,0,552.59,0.4734,0.2857,1,2019-10-24,0.1433,Bajo,0,2026-08-25
170,39,Mendoza,607.0,2,131.95,0.217,0.1972,2,2020-12-22,0.1423,Bajo,0,2026-08-25
171,32,GBA Oeste,796.35,3,181.36,0.2275,0.3772,1,2021-08-11,0.138,Bajo,0,2026-08-25
172,45,Tucuman,1045.5,1,338.07,0.3231,0.3635,0,2016-09-26,0.1041,Bajo,0,2026-08-25
173,34,GBA Sur,456.84,1,170.06,0.3714,0.4622,4,2016-07-26,0.3961,Alto,0,2026-08-25
174,25,Cordoba,4372.23,3,760.39,0.1739,0.1119,1,2014-11-06,0.0522,Bajo,0,2026-08-25
175,24,GBA Oeste,689.89,3,86.63,0.1254,0.3471,0,2013-05-29,0.0891,Bajo,0,2026-08-25
176,42,Tucuman,1316.83,2,1456.74,1.1054,0.3451,3,2022-07-07,0.4225,Alto,1,2026-08-25
177,58,CABA,2060.96,1,777.56,0.3771,0.8031,0,2020-11-21,0.1874,Medio,0,2026-08-25
178,41,GBA Norte,1135.55,3,361.18,0.3178,0.1505,0,2015-08-09,0.0724,Bajo,0,2026-08-25
179,38,Santa Fe,567.81,3,528.83,0.9297,0.2494,0,2010-02-18,0.1664,Medio,0,2026-08-25
180,43,Santa Fe,1048.74,1,99.26,0.0946,0.333,0,2009-04-21,0.0789,Bajo,0,2026-08-25
181,55,CABA,507.59,4,222.42,0.4373,0.2734,2,2015-01-05,0.195,Medio,1,2026-08-25
182,42,GBA Oeste,859.79,5,1105.22,1.284,0.245,2,2021-06-09,0.3595,Alto,0,2026-08-25
183,35,GBA Norte,2152.38,1,2700.89,1.2543,0.6154,1,2009-09-20,0.3822,Alto,0,2026-08-25
184,53,Mendoza,585.05,2,484.23,0.8263,0.4699,1,2022-07-16,0.2697,Medio,1,2026-08-25
185,45,Santa Fe,704.87,0,420.55,0.5958,0.3588,0,2016-04-04,0.1407,Bajo,0,2026-08-25
186,58,GBA Oeste,2436.93,0,435.79,0.1788,0.3643,0,2021-04-28,0.0737,Bajo,0,2026-08-25
187,42,Cordoba,922.06,2,363.76,0.3941,0.4788,3,2023-01-31,0.3111,Medio,1,2026-08-25
188,25,Tucuman,604.47,1,738.84,1.2203,0.3704,0,2012-08-06,0.256,Medio,0,2026-08-25
189,23,CABA,1114.86,0,507.65,0.4549,0.3231,2,2019-08-22,0.2029,Medio,0,2026-08-25
190,59,Cordoba,876.93,2,866.5,0.987,0.6356,2,2016-07-16,0.445,Alto,1,2026-08-25
191,60,CABA,399.78,3,162.41,0.4052,0.6179,2,2013-04-23,0.3053,Medio,0,2026-08-25
192,37,Tucuman,532.48,4,45.82,0.0859,0.4549,1,2023-08-16,0.1402,Bajo,0,2026-08-25
193,35,GBA Sur,2588.67,2,619.37,0.2392,0.4458,1,2022-01-14,0.1226,Bajo,0,2026-08-25
194,57,GBA Norte,1217.94,4,289.27,0.2373,0.5251,2,2013-01-10,0.2153,Medio,0,2026-08-25
195,26,CABA,1905.62,3,1610.31,0.8446,0.4327,1,2023-07-19,0.229,Medio,0,2026-08-25
196,29,CABA,582.71,1,231.2,0.3961,0.5202,0,2022-12-25,0.1539,Medio,0,2026-08-25
197,47,Tucuman,992.79,2,1739.33,1.7502,0.4852,2,2015-05-18,0.5849,Alto,1,2026-08-25
198,35,Santa Fe,896.27,2,2364.96,2.6357,0.2599,2,2015-08-14,0.7186,Muy Alto,1,2026-08-25
199,39,Tucuman,769.49,2,90.1,0.1169,0.2928,0,2019-12-31,0.0788,Bajo,0,2026-08-25
200,38,GBA Sur,1081.14,2,142.92,0.1321,0.3268,0,2015-03-24,0.0812,Bajo,1,2026-08-25
201,44,GBA Norte,620.15,2,465.89,0.75,0.2666,1,2017-09-21,0.1912,Medio,0,2026-08-25
202,56,Santa Fe,1801.99,3,571.23,0.3168,0.2389,0,2019-03-07,0.0753,Bajo,0,2026-08-25
203,41,Cordoba,1230.44,2,1058.08,0.8592,0.3656,1,2015-03-08,0.2258,Medio,0,2026-08-25
204,47,Tucuman,942.11,2,1169.54,1.2401,0.3285,1,2014-08-31,0.3009,Medio,1,2026-08-25
205,18,GBA Norte,963.35,1,1162.42,1.2054,0.5027,3,2014-08-10,0.5395,Alto,1,2026-08-25
206,39,GBA Oeste,858.8,2,1206.11,1.4028,0.3051,0,2010-04-02,0.262,Medio,0,2026-08-25
207,29,GBA Oeste,424.7,3,72.49,0.1703,0.3606,1,2020-09-22,0.134,Bajo,0,2026-08-25
208,25,Cordoba,577.19,2,33.89,0.0586,0.6651,0,2016-02-10,0.1406,Bajo,0,2026-08-25
209,29,Tucuman,867.65,4,131.28,0.1511,0.333,2,2009-10-30,0.1606,Medio,0,2026-08-25
210,35,Mendoza,823.5,1,63.76,0.0773,0.5811,1,2018-09-26,0.1628,Medio,0,2026-08-25
211,50,Santa Fe,1373.85,1,375.48,0.2731,0.6074,0,2012-03-19,0.1391,Bajo,1,2026-08-25
212,24,GBA Sur,1216.69,2,318.23,0.2613,0.208,1,2009-01-15,0.1039,Bajo,0,2026-08-25
213,40,GBA Sur,769.2,1,46.37,0.0602,0.0966,2,2012-12-28,0.102,Bajo,0,2026-08-25
214,34,Cordoba,622.52,3,509.85,0.8177,0.666,2,2022-02-07,0.4282,Alto,1,2026-08-25
215,36,GBA Sur,1386.48,2,3063.0,2.2076,0.7386,3,2010-06-28,0.8326,Muy Alto,1,2026-08-25
216,52,Santa Fe,1126.72,3,124.26,0.1102,0.382,0,2011-05-26,0.0853,Bajo,0,2026-08-25
217,46,Tucuman,772.49,0,126.01,0.1629,0.8783,0,2023-04-02,0.204,Medio,0,2026-08-25
218,56,Cordoba,661.18,4,90.17,0.1362,0.5163,0,2021-10-15,0.1155,Bajo,0,2026-08-25
219,38,Cordoba,722.82,1,476.23,0.6579,0.1359,0,2010-03-05,0.1054,Bajo,0,2026-08-25
220,31,Cordoba,1148.37,2,1777.41,1.5464,0.5888,4,2016-11-19,0.7306,Muy Alto,1,2026-08-25
221,37,Cordoba,2170.74,1,502.58,0.2314,0.4671,0,2023-03-18,0.0973,Bajo,0,2026-08-25
222,42,GBA Oeste,906.64,3,728.36,0.8025,0.4355,0,2023-11-11,0.1867,Medio,0,2026-08-25
223,42,Santa Fe,690.24,3,157.35,0.2276,0.45,0,2017-10-09,0.1146,Bajo,0,2026-08-25
224,26,CABA,2682.19,2,858.09,0.3198,0.4052,0,2013-08-04,0.0905,Bajo,0,2026-08-25
225,41,Cordoba,840.32,3,169.94,0.202,0.0479,1,2014-06-13,0.0781,Bajo,0,2026-08-25
226,42,GBA Norte,701.91,1,374.3,0.5325,0.1714,0,2017-09-21,0.0986,Bajo,0,2026-08-25
227,70,Santa Fe,943.19,3,564.13,0.5975,0.4244,1,2022-06-21,0.1978,Medio,0,2026-08-25
228,62,Cordoba,893.11,1,126.39,0.1414,0.1731,1,2016-05-27,0.088,Bajo,0,2026-08-25
229,29,GBA Sur,1745.15,0,894.99,0.5126,0.7618,0,2012-12-10,0.2115,Medio,0,2026-08-25
230,36,GBA Sur,462.3,0,102.06,0.2203,0.3734,0,2016-11-29,0.1043,Bajo,0,2026-08-25
231,22,GBA Norte,1229.23,4,709.71,0.5769,0.1066,2,2012-11-20,0.1625,Medio,0,2026-08-25
232,32,GBA Sur,952.33,4,222.57,0.2335,0.4363,3,2018-05-31,0.2606,Medio,0,2026-08-25
233,43,CABA,782.28,1,1364.56,1.7421,0.4124,2,2023-09-13,0.5593,Alto,1,2026-08-25
234,54,GBA Norte,905.91,2,387.17,0.4269,0.1939,1,2017-01-06,0.1212,Bajo,0,2026-08-25
235,31,GBA Sur,847.08,3,279.09,0.3291,0.4606,1,2016-03-23,0.1712,Medio,0,2026-08-25
236,32,GBA Norte,997.83,3,309.79,0.3102,0.8507,2,2021-07-20,0.3614,Alto,1,2026-08-25
237,18,CABA,719.19,2,39.81,0.0553,0.3985,0,2010-10-04,0.0905,Bajo,0,2026-08-25
